Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Contacto/-211,110,548,519,669,701,939,429,1046,"0,909%","1,10496","21,48","0,51"
Contacto/canonical.html-212,110,26,13,60,95,134,8,249,"0,000%","1,11023","0,33","0,35"
Contacto/success.txt-215,110,12,6,20,44,131,3,149,"0,000%","1,11024","0,24","0,35"
Contacto/success.txt-214,110,8,6,15,19,62,4,78,"0,000%","1,11027","0,24","0,35"
Contacto/node_modules/video.js/dist/video-js.min.css-216,110,176,164,200,258,408,146,412,"0,000%","1,10865","13,51","0,47"
Contacto/css/latofonts.css-220,110,151,146,187,205,240,118,468,"0,000%","1,10838","1,41","0,44"
Contacto/css/latostyle.css-217,110,152,147,188,207,238,118,395,"0,000%","1,10800","1,05","0,44"
Contacto/node_modules/bootstrap/dist/css/bootstrap.min.css-213,110,220,213,264,270,363,189,425,"0,000%","1,10822","30,93","0,48"
Contacto/node_modules/jquery/dist/jquery.min.js-218,110,220,209,255,283,410,181,506,"0,000%","1,10855","39,04","0,45"
Contacto/node_modules/video.js/dist/video.min.js-219,110,394,385,451,461,576,351,640,"0,000%","1,10667","173,60","0,45"
Contacto/js/index.js-222,110,151,145,174,240,349,117,361,"0,000%","1,10908","3,13","0,42"
Contacto/node_modules/tether/dist/js/tether.min.js-223,110,157,152,197,223,320,122,320,"0,000%","1,10890","10,07","0,45"
Contacto/node_modules/bootstrap/dist/js/bootstrap.min.js-224,110,156,145,194,217,358,125,445,"0,000%","1,10909","16,82","0,46"
Contacto/node_modules/videojs-contrib-hls/dist/videojs-contrib-hls.min.js-221,110,203,193,253,266,388,154,437,"0,000%","1,10883","79,02","0,48"
Contacto/bm.png-226,110,150,137,197,220,316,119,403,"0,000%","1,10958","4,62","0,44"
Contacto/css/fonts/Lato-Regular.woff2-225,110,263,250,321,360,456,206,458,"0,000%","1,10826","198,07","0,51"
Contacto/Samsung1.jpg-227,110,155,146,189,204,267,126,294,"0,000%","1,10886","29,97","0,44"
Contacto/imgs/front.jpg-228,110,160,152,193,218,268,126,423,"0,000%","1,10823","27,00","0,45"
Contacto/nexus1.jpg-229,110,166,158,204,220,279,131,434,"0,000%","1,10838","36,95","0,44"
Contacto/config.json-231,110,156,148,178,205,464,116,504,"0,000%","1,10851","0,59","0,50"
Contacto/iphone1.jpg-230,110,166,161,195,214,302,133,429,"0,000%","1,10870","37,79","0,44"
Contacto/canonical.html-232,110,21,9,53,80,157,4,176,"0,000%","1,11049","0,33","0,35"
Contacto/success.txt-233,110,16,7,36,48,106,4,125,"0,000%","1,11051","0,24","0,35"
Contacto/success.txt-234,110,9,6,18,30,52,3,53,"0,000%","1,11085","0,24","0,35"
Contacto/canonical.html-235,110,7,5,13,14,29,4,41,"0,000%","1,11091","0,33","0,35"
Contacto/success.txt-236,110,8,6,14,16,42,3,45,"0,000%","1,11103","0,24","0,35"
Contacto/success.txt-237,110,9,5,12,19,38,4,220,"0,000%","1,11107","0,24","0,35"
Contacto/-238,110,156,150,187,200,266,123,310,"0,000%","1,10908","21,56","0,54"
Contacto/node_modules/video.js/dist/video-js.min.css-240,110,160,152,202,225,303,122,312,"0,000%","1,10944","13,52","0,50"
Contacto/css/latostyle.css-241,110,149,144,182,197,261,116,481,"0,000%","1,10950","1,07","0,47"
Contacto/css/latofonts.css-243,110,140,132,164,185,233,116,249,"0,000%","1,10967","1,40","0,47"
Contacto/canonical.html-245,110,13,7,28,38,110,3,119,"0,000%","1,11170","0,33","0,35"
Contacto/node_modules/bootstrap/dist/css/bootstrap.min.css-239,110,162,152,183,208,400,127,432,"0,000%","1,10990","30,95","0,51"
Contacto/success.txt-248,110,13,7,25,40,89,4,174,"0,000%","1,11154","0,24","0,35"
Contacto/success.txt-247,110,11,6,22,34,125,4,130,"0,000%","1,11154","0,24","0,35"
Contacto/node_modules/video.js/dist/video.min.js-244,110,236,220,301,317,429,180,498,"0,000%","1,10930","174,00","0,48"
Contacto/imgs/front.jpg-250,110,157,153,182,198,275,125,281,"0,000%","1,10986","27,04","0,47"
Contacto/node_modules/jquery/dist/jquery.min.js-242,110,168,160,195,227,342,130,397,"0,000%","1,10968","39,06","0,48"
Contacto/js/index.js-251,110,144,137,174,198,251,118,275,"0,000%","1,10981","3,13","0,45"
Contacto/node_modules/bootstrap/dist/js/bootstrap.min.js-249,110,156,142,191,206,328,122,421,"0,000%","1,11110","16,89","0,49"
Contacto/node_modules/videojs-contrib-hls/dist/videojs-contrib-hls.min.js-246,110,192,185,227,260,449,144,471,"0,000%","1,11145","79,16","0,51"
Contacto/bm.png-252,110,149,144,174,220,288,118,368,"0,000%","1,11214","4,63","0,47"
Contacto/Samsung1.jpg-253,110,168,157,197,219,478,131,518,"0,000%","1,11264","30,08","0,47"
Contacto/iphone1.jpg-255,110,169,158,206,228,309,132,348,"0,000%","1,11304","37,93","0,47"
Contacto/nexus1.jpg-254,110,167,163,200,224,253,130,267,"0,000%","1,11352","37,12","0,47"
Contacto/node_modules/tether/dist/js/tether.min.js-256,110,156,152,181,215,342,122,372,"0,000%","1,11432","10,14","0,48"
Contacto/config.json-257,110,148,147,174,189,237,116,267,"0,000%","1,11454","0,59","0,50"
Contacto/canonical.html-258,110,19,8,43,62,175,3,175,"0,000%","1,11662","0,33","0,35"
Contacto/success.txt-260,110,15,7,27,47,105,4,236,"0,000%","1,11677","0,24","0,35"
Contacto/success.txt-259,110,14,6,28,37,129,3,239,"0,000%","1,11668","0,24","0,35"
Contacto/canonical.html-261,110,11,6,24,44,62,3,102,"0,000%","1,11808","0,33","0,35"
Contacto/success.txt-262,110,8,6,15,20,44,3,50,"0,000%","1,11834","0,24","0,35"
Contacto/success.txt-263,110,10,6,19,25,51,3,148,"0,000%","1,11867","0,24","0,35"
TOTAL,5830,127,140,227,310,519,3,1046,"0,017%","55,21199","1181,75","21,40"
